salario_medio_moradores_regiao,idade_media_casas_regiao,quantidade_media_comodos_regiao,quantidade_media_quartos_regiao,populacao_regiao,valor_casa
79545,5,7,4,23086,1059034
79248,6,6,3,40173,1505891
61287,5,8,5,36882,1058988
63345,7,5,3,34310,1260617
59982,5,7,4,26354,630943
80175,4,6,4,26748,1068138
64698,6,8,3,60828,1502056
78394,6,6,2,36516,1573937
59927,5,6,2,29387,798870
81885,4,8,6,40149,1545155
80527,8,5,4,47224,1707046
50593,4,7,4,34343,663732
39033,7,7,3,39220,1042814
73163,6,5,2,32326,1291332
69391,5,8,4,35521,1402818
73091,5,8,4,23929,1306675
79706,5,8,3,39717,1556787
61929,4,5,4,24595,528485
63508,5,7,5,35719,1019426
62085,5,7,5,44922,1030591
86294,6,8,4,47560,2146925
60835,5,6,2,45574,929248
64490,4,5,4,40358,718887
60697,6,7,6,28140,744000
59748,5,7,4,27809,895737
56974,8,7,4,40694,1453975
82173,4,6,2,38853,1125693
64626,5,6,4,27784,975429
90499,6,4,3,33970,1240764
59323,6,8,4,37520,1577018
77811,5,6,3,33754,1246830
68652,6,6,4,39355,1170721
55041,7,8,5,30122,1071279
50218,6,7,6,16810,534305
55909,5,9,6,22355,936369
74372,5,6,2,39395,1199194
78667,5,7,4,27637,1233220
78699,5,6,3,22836,1081150
53128,5,5,2,32947,524713
17796,4,6,2,47162,302356
58566,6,5,2,39705,1026817
75537,7,7,6,32778,1762215
46147,6,7,4,27161,882057
70421,6,7,4,43183,1744932
62614,5,7,6,26888,1153871
66394,7,7,3,39741,1499989
73946,4,7,6,35261,1109588
69144,7,5,3,19030,980177
77278,6,6,2,21725,1323952
86754,6,6,4,43017,1662495
74399,6,7,6,41084,1417820
49408,5,5,3,26881,549976
62279,6,6,4,35263,1054771
73078,5,6,3,54915,1415648
72942,4,7,6,24377,948788
63819,5,8,4,27825,1159597
73265,8,7,3,21030,1547133
68488,6,7,5,18267,1186689
55193,7,5,4,32537,772112
77434,6,5,3,36252,1172730
66158,4,6,2,37098,1111085
60502,7,5,4,33579,1022781
60910,5,7,4,43347,1274475
73931,6,4,4,36543,1213531
59539,6,7,5,58600,1411730
56547,5,6,3,37585,858686
65950,5,6,3,40110,1200962
74533,6,5,4,49481,1520234
66422,7,7,6,31019,1360908
74334,5,6,4,41640,1360921
63538,4,7,3,43282,1146532
83953,7,6,3,37283,1789099
57279,5,6,3,44023,852099
56553,5,7,3,29682,746097
75795,5,7,6,33197,1534480
70848,5,6,3,40458,1215609
59787,5,6,3,32402,941594
64826,4,8,4,60286,1204598
65925,7,7,3,34171,1597655
64419,6,8,6,39318,1492011
58544,8,7,4,30865,1421217
68791,4,6,4,48423,1132523
82061,4,5,4,36271,1102821
80659,5,7,6,52947,1856211
66668,6,7,3,47075,1687999
64721,5,6,4,36115,1063423
65199,6,6,3,28366,1177290
74579,4,5,3,42806,1173474
76273,7,4,3,46974,1637260
67561,5,7,4,35517,1238938
48904,4,5,3,32960,201898
72145,6,8,6,28882,1439506
70805,4,5,3,29268,585609
65383,7,6,3,35114,1294685
95450,6,6,3,39388,2014851
73698,6,6,4,51815,1840236
66263,6,6,4,49829,1441422
75394,6,7,4,22268,1498641
65984,6,6,2,21867,954747
66477,6,6,2,32458,1124636
69284,5,7,3,40282,1169944
70404,5,6,2,37127,1114431
74218,8,6,4,46770,1783535
63441,6,7,3,48061,1302933
57493,6,6,4,47039,1241484
81543,5,5,2,9816,954115
78633,5,7,3,43728,1555321
52202,4,4,2,42165,404976
67980,5,6,2,25909,1073184
78568,5,6,2,41016,1422196
55472,4,5,3,15353,340605
67579,5,7,6,21762,1170960
61456,6,6,4,30821,942838
60815,7,7,4,31233,1401614
51217,5,8,3,47089,1175504
63027,4,5,2,35991,608794
62484,6,7,5,26882,946943
73923,7,7,6,58745,1819901
79737,7,6,2,28307,1463130
63890,4,7,5,43416,1252391
67310,7,7,5,43310,1714445
73145,4,7,3,49463,1291759
86924,6,7,6,28719,1809154
74384,7,5,2,17117,1200539
67477,6,7,5,29763,1300265
71202,4,6,4,34207,997449
85845,6,9,3,46477,2152959
72138,7,8,5,35799,1629984
44806,4,4,3,57390,497579
67504,5,5,4,37441,890113
74706,5,5,2,39680,1064686
68898,6,7,6,39515,1530124
58118,8,5,4,35598,1246247
